file_size,csv_std,xlsx_std,avro_std,parquet_std
512KB,0.0124687939289268,1.3305962952955326,0.0289562665651395,0.0106654116708177
1MB,0.0216801038972727,0.7584335364817238,0.0821945109663795,0.0151312992458152
5MB,0.0194901693069514,0.7155399969424818,0.1926272700247645,0.0120788797771952
10MB,0.0327614909891091,0.9542851210868636,0.2338642388821491,0.016562539257732
15MB,0.0706176912533301,1.2518166198523142,0.1690961750311084,0.0203992541585492
20MB,0.066989356392157,0.9520806544776472,0.3077113287961787,0.0236855218347844
aggregated(v3-latest),0.1030340006680445,1.130016562244036,0.5241118465168318,0.030966133573816
