,csv_mean,xlsx_mean,avro_mean,parquet_mean
512KB,0.10764528368400031,3.631089902900004,0.5548339188500023,0.48389132283296565
1MB,0.23347543255199918,7.603996628400003,1.1762150847700048,0.4801160619559905
5MB,1.0894837893650011,38.1421508881,5.679804467630004,0.4817771768290022
10MB,2.076478326928005,74.87460810420001,10.882344618210004,0.48517992019901796
15MB,3.020509585025,109.51403753330003,15.937314451799985,0.5004984348359595
20MB,4.091203468242992,155.2619921507,22.685636426590055,0.4890471105789984
aggregated(v3-latest),5.3559694833860085,210.1603630468,29.91288548166007,0.48519620719799605
