aggregated_512KB,aggregated_1MB,aggregated_5MB,aggregated_10MB,aggregated_15MB,aggregated_20MB,aggregated
0.0643344700000057,0.08024375500008318,0.13548959899992497,0.18527764600003138,0.2217134669999723,0.2712441220000983,0.48396243400020467
0.06538429999994833,0.0835773750000044,0.10043020799992064,0.15597510199995668,0.18592242100021394,0.20179539099990507,0.43513835899921105
0.06315826200000174,0.07886763199996949,0.11681219100000817,0.14230529400015257,0.17591817500033358,0.226280941999903,0.23072934900028486
0.07232589800003097,0.07556103700005679,0.11097569799994744,0.17658584100013286,0.16191396900012478,0.2475051600004008,0.21741573399958725
0.07549049900001137,0.07346194899992042,0.15007250100006786,0.14205847499988522,0.1561636799997359,0.24205285299967727,0.211444756999299
0.0799482639999951,0.0716297259999692,0.1686726110000336,0.16225133800003277,0.18863648100023056,0.20001283600004172,0.24373598900001525
0.0695312059999651,0.07134430300004624,0.17661905399995703,0.14577471699999478,0.1621827899998607,0.2306543839999904,0.2866173440006605
0.0659680630000139,0.07291643699988981,0.1903168740000183,0.1504388690000269,0.1884555729998283,0.19068667500005176,0.2182168030003595
0.0658806229999982,0.08912132299997211,0.16749623800001245,0.14324890100010634,0.17536610999968616,0.19498722199978147,0.2812941359998149
0.06561346899997034,0.0798680800000966,0.15812094199998228,0.15560662400002911,0.16105519500024457,0.1904282149998835,0.22433538599943859
0.0647940200000221,0.08390805299995918,0.17385164400002395,0.1401672370000142,0.1884184710002046,0.21847771399961857,0.21363216999998258
0.06947575500004177,0.07285900299996229,0.17047954600002413,0.13714631700008795,0.18809107600009156,0.2196435509999901,0.21409687000050326
0.07793091799999274,0.07817464100003235,0.1910193779999645,0.16507400299997244,0.19012704699980532,0.19747237000001405,0.23479466199933086
0.06662926999996444,0.08311777799997344,0.19365883600005418,0.13738841700001103,0.1612989759996708,0.24529628700020112,0.21983213200019236
0.071040494999977,0.07185255199999574,0.18824859099993319,0.1470411079999394,0.19800317799990808,0.2016538060001949,0.22032106799997564
0.06491615200002343,0.07408471700000518,0.16365867100000742,0.14222806899988427,0.1631624169999668,0.1953208629997789,0.24109653600044112
0.0724396510000247,0.07293985199999042,0.19261145699999815,0.1459837760000937,0.18854664599984972,0.19939039499968203,0.22253845100021863
0.06848857599999292,0.07397654999999759,0.1679937929999369,0.16342407100000855,0.1646857609998733,0.1888595840000562,0.22030308400007925
0.06708843000001252,0.07246551499997622,0.16536428899996736,0.17121478400008527,0.19790562800017142,0.23097340300000724,0.21092373299961764
0.06812785300002133,0.07323409000002812,0.17139569899995877,0.1416361980000147,0.17575791899980686,0.19067248599958475,0.2653974599998037
